TM,PCO2,pH,SO,CL,BSW,MMCFD,HCO3,BOPD,BWPD,FE,PS,CA,Defect_Depth,Pipe_type
42.76,0.419,7.088,24.592,3169.7,0.558,15.788,2273.001,1477.246,2551.759,0.866,684.563,0.958,0.213,Pipe_3
36.22,0.036,8.17,5.511,2577.223,0.119,5.219,3756.523,1217.194,3546.226,2.595,412.441,0.115,0.071,Pipe_2
32.545,0.026,8.26,8.166,2657.618,0.075,5.52,4157.994,1417.466,6479.427,2.141,181.853,0.025,0.066,Pipe_3
29.61,0.053,8.563,14.711,252.06,0.4,5.036,4014.561,1247.825,5366.827,2.623,79.05,0.023,0.129,Pipe_2
42.48,0.243,7.481,23.657,3733.129,0.496,8.08,2170.914,1157.551,5920.806,1.267,735.774,0.584,0.172,Pipe_3
45.114,0.262,7.371,18.603,3946.059,0.504,4.127,1878.129,318.471,2425.96,1.387,630.762,0.211,0.206,Pipe_1
32.251,0.047,8.08,6.314,2883.072,0.272,8.789,3924.531,287.457,7241.853,1.966,156.224,0.119,0.091,Pipe_3
68.586,0.457,6.268,52.151,3477.304,0.834,9.159,354.554,230.554,2550.461,0.671,1078.987,2.481,1.009,Pipe_3
44.117,0.152,7.343,19.953,3576.268,0.584,6.952,1978.524,1022.585,3218.366,1.187,533.483,0.301,0.138,Pipe_2
23.789,0.035,8.21,11.54,427.87,0.085,5.595,4084.997,1149.566,1936.4,2.468,346.196,0.034,0.066,Pipe_1
45.471,0.23,7.422,35.541,3616.386,0.534,13.162,2453.754,398.344,8539.443,0.93,622.192,1.057,0.222,Pipe_2
49.528,0.384,7.017,16.754,3330.096,0.451,1.396,1844.777,873.447,1959.823,1.403,641.366,0.676,0.241,Pipe_2
41.582,0.203,7.003,16.86,3196.565,0.465,3.626,2575.711,1447.76,6607.526,1.437,705.945,0.24,0.219,Pipe_3
64.64,0.453,6.508,65.363,6935.664,0.802,1.218,911.076,1510.694,2773.121,0.317,1491.757,2.154,1.325,Pipe_2
52.58,0.459,6.508,60.193,5071.992,0.854,16.695,291.125,817.099,1932.621,0.269,1839.917,2.162,1.035,Pipe_1
25.085,0.045,8.442,5.969,1492.332,0.346,12.829,3517.234,1196.575,4681.905,1.988,221.092,0.039,0.071,Pipe_3
28.33,0.094,8.103,3.987,1075.57,0.107,9.155,3899.371,1212.64,935.445,2.54,397.883,0.085,0.083,Pipe_1
43.756,0.194,7.573,28.621,3876.286,0.477,15.865,2662.722,1477.672,8888.037,1.204,648.803,0.487,0.226,Pipe_1
73.782,0.504,6.368,65.871,7160.858,0.802,0.929,1106.838,274.636,4628.383,0.087,1003.686,2.142,0.781,Pipe_3
26.076,0.124,8.323,8.844,1586.239,0.317,15.955,4040.978,943.519,1859.373,1.845,193.302,0.087,0.117,Pipe_1
29.174,0.079,8.349,9.588,637.046,0.49,4.555,4177.89,501.789,100.368,2.095,414.507,0.059,0.093,Pipe_1
39.479,0.318,7.798,30.847,3835.108,0.514,12.597,2226.242,390.344,8654.43,1.208,612.228,0.649,0.213,Pipe_3
43.566,0.31,7.448,20.807,3522.582,0.467,4.763,2041.006,1049.753,928.604,1.192,675.001,0.765,0.226,Pipe_1
30.982,0.037,8.215,11.589,906.211,0.48,10.68,3510.37,1529.887,8084.944,2.629,334.99,0.105,0.051,Pipe_2
27.536,0.073,8.11,10.435,2291.46,0.47,0.476,3810.006,125.706,4806.652,2.496,338.383,0.12,0.067,Pipe_1
58.299,0.569,6.275,53.612,6654.806,0.827,14.877,1146.84,1280.62,7976.889,0.624,2030.98,2.379,0.909,Pipe_2
49.114,0.198,7.484,29.606,3281.703,0.402,11.961,2888.381,299.323,4053.789,1.48,729.59,1.036,0.154,Pipe_1
55.436,0.586,6.824,54.712,7136.672,0.795,17.522,293.37,1386.484,296.043,0.648,1974.204,2.425,0.756,Pipe_2
39.24,0.325,7.649,31.537,3586.773,0.518,11.827,2131.558,773.121,633.592,1.453,671.595,1.099,0.134,Pipe_2
29.98,0.113,8.355,13.867,1592.975,0.35,12.663,3753.974,508.193,792.329,2.481,120.251,0.048,0.114,Pipe_2
25.885,0.024,8.564,13.911,1424.365,0.403,7.679,3669.773,590.506,4303.113,1.966,122.94,0.085,0.059,Pipe_1
49.495,0.216,7.799,23.739,3545.624,0.459,2.922,2152.813,1006.646,8644.821,1.297,625.081,1.009,0.132,Pipe_2
47.189,0.355,7.577,32.24,3138.712,0.522,17.258,2376.495,805.901,8715.773,1.21,708.564,0.845,0.172,Pipe_2
47.696,0.397,7.977,32.417,3907.315,0.584,0.212,2564.681,478.363,8725.536,1.417,644.54,0.807,0.205,Pipe_3
69.887,0.553,6.633,61.058,4159.487,0.815,0.213,1620.176,163.773,776.367,0.086,1806.651,2.121,1.429,Pipe_3
36.837,0.039,8.544,12.507,1522.37,0.413,12.994,3840.12,1012.627,7808.008,2.004,356.363,0.064,0.08,Pipe_3
38.717,0.301,7.504,20.434,3129.532,0.449,0.988,2064.19,960.157,2734.267,0.71,716.77,1.034,0.163,Pipe_2
47.258,0.318,7.14,24.024,3047.718,0.527,10.406,1937.157,689.644,7085.617,1.374,556.525,1.038,0.131,Pipe_3
22.17,0.041,8.348,5.034,1526.507,0.088,15.058,3949.797,1402.449,6907.141,1.995,420.095,0.048,0.116,Pipe_1
48.271,0.382,7.927,34.595,3520.738,0.551,0.455,1980.736,1297.237,2900.485,1.071,719.154,0.872,0.211,Pipe_1
38.684,0.429,7.215,22.835,3184.149,0.539,9.03,2725.18,574.966,3578.565,1.224,614.52,0.335,0.234,Pipe_1
60.318,0.571,6.525,60.472,5836.625,0.854,9.606,949.722,909.286,8902.378,0.633,1213.904,2.256,0.772,Pipe_1
21.831,0.114,8.459,4.54,263.513,0.261,9.969,3897.484,1167.978,4429.502,2.705,175.014,0.125,0.067,Pipe_3
66.071,0.534,6.213,51.823,4583.544,0.782,2.896,1036.054,939.62,2244.779,0.065,1563.586,2.237,1.415,Pipe_3
24.405,0.048,8.328,5.756,1018.978,0.313,12.116,4126.817,1254.058,3418.713,2.203,139.201,0.022,0.104,Pipe_2
45.718,0.327,7.056,15.075,3635.627,0.572,1.111,1811.136,1139.169,8666.361,0.809,671.208,0.713,0.145,Pipe_1
47.612,0.177,7.744,26.202,3741.525,0.409,10.433,1865.767,651.421,2284.764,0.797,724.836,1.014,0.131,Pipe_2
70.635,0.534,6.868,61.277,4635.373,0.78,13.335,697.407,1285.729,2991.847,0.436,1536.825,2.125,1.471,Pipe_2
47.872,0.228,7.21,17.916,3549.05,0.47,1.866,2647.935,1550.63,6423.458,1.184,580.619,0.885,0.144,Pipe_1
47.305,0.364,7.673,16.11,3412.196,0.551,2.437,1963.642,621.559,574.459,0.842,525.146,0.502,0.16,Pipe_1
41.131,0.42,7.071,34.095,3635.315,0.534,4.349,1989.73,280.856,3904.093,1.051,669.876,0.628,0.178,Pipe_1
36.073,0.046,8.549,2.628,2693.853,0.166,16.333,3734.634,500.425,5384.862,2.035,329.965,0.048,0.121,Pipe_3
22.178,0.121,8.216,2.455,2156.945,0.069,4.253,3681.486,565.224,2769.393,2.055,140.9,0.147,0.123,Pipe_3
44.904,0.154,7.595,17.589,3124.718,0.462,15.885,2469.393,730.092,4732.611,1.082,653.924,0.568,0.245,Pipe_3
39.998,0.234,7.846,19.315,3607.54,0.591,14.885,2809.359,956.578,9172.396,1.243,745.116,0.907,0.178,Pipe_2
21.385,0.034,8.147,7.129,1238.99,0.176,16.004,4125.345,216.842,6085.127,1.937,364.832,0.127,0.096,Pipe_2
54.916,0.584,6.961,53.591,4895.118,0.818,13.62,222.551,651.223,7747.756,0.685,1585.107,2.028,0.331,Pipe_3
29.997,0.081,8.313,12.186,1968.402,0.387,7.383,3632.453,800.758,817.893,2.022,388.171,0.141,0.107,Pipe_2
56.01,0.57,6.23,43.811,5239.55,0.8,7.259,798.5,626.029,200.995,0.616,1990.591,2.478,1.146,Pipe_3
49.526,0.307,7.189,29.432,3888.394,0.569,6.578,2104.703,796.27,1396.401,1.279,707.773,0.568,0.139,Pipe_1
48.289,0.198,7.366,34.584,3845.033,0.445,15.549,1915.95,749.607,7840.38,0.859,630.53,0.729,0.228,Pipe_3
40.234,0.342,7.676,26.901,3593.859,0.442,2.013,2639.317,701.558,5298.873,0.836,747.327,0.993,0.244,Pipe_2
33.139,0.033,8.291,4.225,2218.107,0.165,13.85,4205.401,1368.873,393.273,2.193,106.673,0.056,0.068,Pipe_1
35.744,0.026,8.179,2.418,1745.821,0.17,14.395,3721.644,1416.875,3627.4,1.992,206.011,0.111,0.127,Pipe_1
56.519,0.577,6.229,65.786,3609.7,0.779,5.4,1134.444,1293.861,7465.432,0.448,1932.101,2.25,0.913,Pipe_3
61.338,0.456,6.287,67.382,7563.978,0.847,6.153,1464.383,1518.96,4870.364,0.416,1820.167,2.279,1.266,Pipe_3
69.965,0.474,6.871,42.051,4340.756,0.795,6.875,1280.067,1398.492,7387.008,0.602,1288.812,2.411,1.411,Pipe_3
68.386,0.488,6.987,62.888,7294.827,0.773,10.906,550.262,1504.543,2389.626,0.362,1368.755,2.014,1.246,Pipe_2
35.597,0.021,8.391,6.067,2342.032,0.083,14.277,4167.937,1398.358,2770.701,2.103,392.31,0.045,0.112,Pipe_1
40.247,0.188,7.652,35.898,3281.909,0.473,5.285,1977.816,538.82,7203.0,1.102,564.718,0.284,0.225,Pipe_2
43.247,0.27,7.897,30.99,3059.015,0.421,12.72,2195.556,1001.839,2183.126,1.337,579.099,0.954,0.151,Pipe_2
42.949,0.208,7.235,38.128,3784.051,0.438,12.209,2480.204,1436.085,8266.879,1.402,745.262,0.586,0.192,Pipe_3
25.048,0.108,8.376,11.086,2856.295,0.388,5.225,3995.443,768.722,3527.447,2.073,503.261,0.045,0.088,Pipe_1
42.105,0.18,7.73,22.369,3925.283,0.523,9.047,1867.67,434.892,1705.186,0.9,673.476,0.611,0.133,Pipe_2
23.083,0.098,8.422,6.412,2528.403,0.284,9.82,3795.077,347.66,4820.081,2.772,197.786,0.079,0.097,Pipe_2
46.678,0.319,7.024,33.055,3485.765,0.471,6.025,2815.868,325.018,8522.632,1.398,654.46,0.588,0.236,Pipe_2
21.899,0.015,8.059,3.337,1805.778,0.034,3.265,3835.421,1090.329,2889.535,2.61,268.344,0.069,0.054,Pipe_2
26.804,0.015,8.529,12.972,1554.098,0.037,12.415,3515.191,198.377,2773.891,2.008,193.656,0.102,0.103,Pipe_1
31.141,0.062,8.045,10.795,796.13,0.364,12.821,4204.094,771.188,6474.117,2.609,90.932,0.149,0.094,Pipe_1
44.193,0.375,7.824,16.806,3211.184,0.459,15.709,2765.112,1404.455,1489.382,1.311,737.387,0.92,0.144,Pipe_1
48.82,0.386,7.888,35.044,3011.762,0.507,10.465,2639.897,192.849,5039.382,1.226,674.539,0.447,0.146,Pipe_2
22.569,0.014,8.458,6.104,2804.568,0.14,11.346,3699.122,666.676,1580.345,2.033,245.538,0.13,0.114,Pipe_1
33.595,0.03,8.384,11.885,1301.442,0.341,16.726,3906.943,622.37,7149.087,2.145,377.722,0.033,0.101,Pipe_2
29.164,0.029,8.407,12.426,1251.812,0.247,6.333,3615.114,165.11,34.188,1.894,450.231,0.13,0.062,Pipe_3
42.119,0.413,7.915,24.428,3220.671,0.462,11.679,1845.546,1235.662,3689.125,1.188,655.08,0.506,0.217,Pipe_3
33.357,0.06,8.527,10.059,2365.87,0.462,12.38,4150.143,258.331,8382.611,2.612,480.678,0.05,0.055,Pipe_1
24.837,0.103,8.175,10.645,1944.055,0.082,10.157,3777.337,1277.206,2607.39,2.176,342.56,0.067,0.102,Pipe_2
40.336,0.344,7.691,27.672,3962.552,0.497,13.2,2593.612,687.591,4093.181,1.427,720.707,0.31,0.187,Pipe_1
46.481,0.22,7.854,22.018,3557.428,0.597,4.3,2034.169,928.483,7906.751,1.352,721.185,0.811,0.205,Pipe_3
40.573,0.225,7.531,29.305,3855.042,0.495,13.03,1706.185,1173.088,1680.575,1.37,692.539,0.425,0.182,Pipe_2
28.631,0.116,8.138,10.528,390.729,0.133,5.396,3640.273,1173.309,1224.597,2.654,279.708,0.142,0.084,Pipe_3
35.047,0.018,8.467,2.598,192.49,0.347,3.83,4116.038,1359.882,594.593,2.293,473.384,0.086,0.127,Pipe_2
30.737,0.072,8.085,10.076,1188.488,0.302,12.525,3675.633,1132.702,6647.712,2.129,233.408,0.082,0.056,Pipe_3
73.159,0.553,6.287,56.265,6210.326,0.789,10.2,370.29,1180.288,8901.604,0.47,1923.627,2.273,0.379,Pipe_3
28.649,0.119,8.221,8.445,2731.519,0.237,16.78,4046.39,409.544,2414.174,1.896,429.278,0.045,0.119,Pipe_2
42.176,0.264,7.911,18.179,3994.882,0.57,5.465,2792.519,258.746,8846.131,0.876,684.686,0.655,0.153,Pipe_1
69.573,0.453,6.676,56.468,6141.159,0.86,5.465,1458.089,1480.52,7135.879,0.352,1663.991,2.219,1.102,Pipe_3
48.537,0.338,7.216,23.79,3223.431,0.534,15.967,2313.183,180.423,5553.065,1.486,636.276,0.322,0.171,Pipe_1
30.447,0.12,8.248,10.103,1469.794,0.126,15.215,4039.383,465.53,5159.569,2.65,295.864,0.084,0.102,Pipe_1
43.256,0.399,7.263,38.907,3854.222,0.523,8.014,2528.493,897.966,30.154,0.822,749.782,0.927,0.155,Pipe_1
21.939,0.047,8.139,10.939,2364.307,0.193,9.972,3810.231,313.597,4561.51,1.807,123.684,0.106,0.058,Pipe_2
54.217,0.462,6.689,57.6,3843.143,0.744,8.075,890.39,1283.064,7386.191,0.078,1989.958,2.292,1.204,Pipe_1
22.941,0.018,8.118,6.776,351.856,0.293,17.393,3662.029,634.234,2930.895,2.722,500.935,0.053,0.067,Pipe_1
41.142,0.237,7.28,20.745,3596.153,0.519,16.376,2460.786,429.395,7150.895,0.717,616.881,0.208,0.18,Pipe_3
49.428,0.161,7.473,33.911,3774.051,0.455,15.049,2560.147,181.159,3545.498,0.914,605.934,0.758,0.172,Pipe_3
65.721,0.523,6.571,67.243,5608.812,0.83,4.897,416.423,882.788,4785.234,0.392,1176.74,2.453,1.357,Pipe_1
32.538,0.087,8.179,2.704,698.389,0.357,6.387,3516.597,794.192,5794.322,1.965,241.181,0.099,0.108,Pipe_1
67.255,0.462,6.694,59.257,7501.627,0.724,13.865,915.866,196.35,2093.127,0.616,1831.246,2.121,0.671,Pipe_1
28.062,0.038,8.072,7.027,2581.728,0.495,8.155,4109.914,429.24,555.227,2.176,385.942,0.104,0.067,Pipe_1
28.455,0.102,8.356,12.575,1237.801,0.494,2.06,3643.182,1083.504,4293.923,2.243,82.786,0.067,0.123,Pipe_2
23.537,0.039,8.512,12.557,2699.887,0.475,15.592,3791.334,1257.31,5268.318,1.875,339.737,0.14,0.063,Pipe_2
24.13,0.067,8.152,12.914,1270.814,0.215,17.098,3857.085,249.204,873.678,1.999,466.106,0.071,0.068,Pipe_1
39.23,0.272,7.251,30.085,3735.055,0.408,9.411,2118.174,352.504,4954.937,0.978,647.018,0.828,0.166,Pipe_3
48.955,0.223,7.133,15.512,3279.302,0.475,6.952,2036.07,1323.183,5173.995,1.465,526.317,1.085,0.172,Pipe_1
47.257,0.399,7.859,17.296,3295.566,0.438,4.706,2485.891,181.926,6298.886,1.351,683.788,0.215,0.17,Pipe_2
25.158,0.092,8.462,14.927,881.014,0.49,2.085,3511.574,497.644,3045.019,2.356,403.178,0.075,0.078,Pipe_2
71.624,0.596,6.584,48.245,4149.41,0.835,2.143,1440.497,1115.284,6387.623,0.068,1157.481,2.155,0.793,Pipe_1
27.574,0.067,8.537,14.462,113.05,0.268,7.729,3953.999,1054.987,9269.052,2.38,186.436,0.106,0.057,Pipe_3
34.517,0.127,8.561,4.283,2965.909,0.015,14.35,3595.609,586.025,3185.51,2.055,367.428,0.116,0.053,Pipe_2
34.933,0.068,8.54,14.131,2152.729,0.241,10.169,4029.758,937.901,7486.296,2.175,483.024,0.105,0.076,Pipe_2
28.697,0.056,8.127,14.526,2700.17,0.362,12.165,3513.335,1421.09,3802.728,2.689,105.402,0.121,0.101,Pipe_3
27.5,0.13,8.371,4.26,2073.236,0.382,16.011,4116.997,166.17,9273.346,2.696,377.209,0.063,0.118,Pipe_1
61.162,0.588,6.768,64.34,4763.586,0.842,3.011,891.498,1269.415,3894.086,0.354,2048.555,2.194,0.98,Pipe_3
28.4,0.02,8.508,12.045,107.263,0.1,16.786,3657.105,924.425,1912.475,2.323,241.128,0.102,0.123,Pipe_2
48.467,0.406,7.246,18.536,3563.958,0.493,5.407,1757.497,658.999,8629.357,1.185,657.843,0.257,0.204,Pipe_3
40.746,0.17,7.928,26.686,3097.041,0.56,5.57,2100.237,670.848,4967.709,1.451,565.014,0.477,0.173,Pipe_3
51.374,0.586,6.894,67.967,5284.152,0.853,7.809,1572.123,356.253,5750.257,0.129,2047.742,2.393,0.54,Pipe_2
34.974,0.122,8.067,4.792,931.356,0.482,12.79,3606.387,815.084,8859.662,1.809,369.077,0.134,0.083,Pipe_1
32.371,0.05,8.494,3.313,559.003,0.432,2.646,3534.515,1128.831,5770.227,2.248,98.261,0.075,0.057,Pipe_1
23.905,0.034,8.219,4.948,484.091,0.036,2.648,3551.351,1527.117,5176.039,2.238,472.759,0.122,0.105,Pipe_3
38.531,0.331,7.436,17.506,3631.324,0.597,11.528,2543.545,942.38,3656.532,0.774,618.412,0.728,0.165,Pipe_3
48.291,0.24,7.301,32.375,3002.779,0.409,11.991,1924.841,930.993,2160.811,0.876,533.732,0.647,0.191,Pipe_3
55.883,0.453,6.766,63.957,6089.124,0.863,3.024,239.486,940.224,6313.603,0.462,1711.542,2.477,1.309,Pipe_1
36.746,0.042,8.458,7.617,178.885,0.397,15.853,4168.018,627.333,625.285,2.626,186.308,0.078,0.102,Pipe_2
32.824,0.055,8.224,13.653,1507.85,0.114,11.603,4008.983,717.352,6815.833,2.712,362.736,0.125,0.092,Pipe_1
59.17,0.604,6.941,63.588,6751.292,0.776,17.466,580.036,1167.162,6673.015,0.615,1638.637,2.298,1.198,Pipe_3
44.38,0.37,7.799,34.314,3025.852,0.595,9.158,2156.243,275.661,589.459,1.39,616.867,0.906,0.187,Pipe_1
34.979,0.074,8.226,7.074,2821.513,0.405,4.021,3815.947,307.117,1461.147,2.5,486.97,0.044,0.103,Pipe_2
30.399,0.026,8.514,5.157,408.127,0.071,7.787,3995.564,534.216,8446.674,1.858,110.108,0.119,0.084,Pipe_1
66.951,0.497,6.374,58.376,4014.648,0.884,13.121,1091.907,1206.994,6010.86,0.657,1641.197,2.277,0.809,Pipe_3
48.192,0.201,7.687,16.278,3483.562,0.421,10.255,2612.321,987.942,5110.392,0.732,599.544,0.352,0.172,Pipe_1
35.434,0.101,8.448,10.284,2137.234,0.293,10.265,3861.763,456.43,3400.643,2.575,376.93,0.105,0.103,Pipe_3
40.536,0.18,7.628,34.014,3033.115,0.434,8.681,1754.465,1060.197,5094.992,0.9,574.49,0.317,0.183,Pipe_1
39.122,0.223,7.043,23.553,3303.595,0.567,9.514,1913.886,1544.543,4308.137,0.901,708.314,0.855,0.148,Pipe_2
26.251,0.033,8.386,3.865,2364.226,0.026,15.015,3810.634,659.728,7283.259,2.647,163.713,0.051,0.087,Pipe_3
55.399,0.508,6.258,43.203,6553.899,0.822,3.475,1006.622,566.756,9012.303,0.392,1745.665,2.35,1.13,Pipe_1
36.347,0.065,8.065,13.527,1397.332,0.341,12.925,3986.735,1007.173,8481.936,2.009,451.265,0.078,0.089,Pipe_1
40.494,0.181,7.907,34.01,3290.033,0.41,3.527,1881.352,1234.034,5589.962,1.026,624.424,0.501,0.234,Pipe_2
33.396,0.061,8.504,12.477,1286.886,0.261,8.563,4172.872,640.654,129.541,2.014,273.712,0.078,0.077,Pipe_3
49.975,0.227,7.916,28.391,3776.663,0.405,15.891,2109.637,409.504,1298.981,1.404,716.197,0.488,0.226,Pipe_3
48.922,0.331,7.775,19.919,3198.428,0.593,2.304,2536.607,1526.02,3506.789,1.14,699.734,0.57,0.248,Pipe_3
26.855,0.074,8.38,7.975,609.93,0.035,0.225,4056.985,187.112,3929.285,2.202,371.459,0.125,0.11,Pipe_3
35.638,0.04,8.24,3.262,2679.277,0.327,11.021,3672.445,840.055,1144.285,2.481,277.164,0.077,0.109,Pipe_3
51.753,0.464,6.949,56.247,4531.334,0.779,16.839,1324.746,654.659,7751.849,0.595,1678.479,2.196,1.378,Pipe_1
29.085,0.065,8.01,7.7,1368.108,0.034,9.163,4202.586,152.971,7585.894,2.183,364.636,0.07,0.1,Pipe_3
24.474,0.011,8.074,11.438,1907.828,0.084,2.632,4062.477,1270.746,4495.168,1.807,468.794,0.022,0.067,Pipe_1
39.032,0.325,7.122,33.316,3718.152,0.421,10.319,2777.266,1337.848,4549.161,1.281,523.145,0.68,0.144,Pipe_1
43.844,0.407,7.897,29.87,3932.351,0.435,2.17,1946.644,1268.465,4495.41,0.976,568.08,0.729,0.139,Pipe_3
44.026,0.314,7.377,35.527,3038.822,0.52,11.228,2058.482,806.136,3621.996,1.483,515.456,0.338,0.171,Pipe_3
24.078,0.053,8.13,7.002,2692.418,0.012,14.128,3552.006,649.488,1792.754,2.666,336.017,0.062,0.105,Pipe_3
66.36,0.601,6.592,57.274,7198.673,0.818,14.584,497.136,238.101,3312.617,0.632,1702.69,2.042,0.418,Pipe_3
41.164,0.277,7.343,33.392,3427.872,0.519,6.994,2308.927,1145.129,7299.435,1.301,552.486,0.559,0.213,Pipe_2
40.88,0.352,7.503,39.362,3782.974,0.464,7.968,1761.938,192.235,920.686,0.939,579.222,1.011,0.166,Pipe_3
44.832,0.308,7.264,26.974,3315.58,0.45,11.22,2714.646,703.123,1435.963,1.361,631.961,0.251,0.236,Pipe_1
32.743,0.12,8.014,14.071,658.634,0.313,3.558,3511.145,1133.093,4416.372,1.838,380.661,0.072,0.118,Pipe_2
39.502,0.255,7.045,30.297,3189.015,0.468,11.269,2624.186,1356.634,2456.181,0.901,741.376,0.372,0.143,Pipe_2
24.669,0.036,8.292,6.974,230.309,0.494,1.141,3812.047,375.391,7232.611,2.671,141.311,0.024,0.052,Pipe_2
40.185,0.304,7.703,24.871,3901.573,0.506,8.61,2309.246,1193.278,4729.31,0.718,555.763,0.512,0.143,Pipe_3
28.282,0.042,8.487,6.593,2483.488,0.054,1.015,3841.776,1416.875,7422.814,2.049,394.092,0.057,0.074,Pipe_1
70.862,0.541,6.392,51.487,7027.904,0.766,16.402,507.566,831.44,6744.538,0.426,1568.415,2.121,0.533,Pipe_2
